id,age,Дата первого занятия,Курс,М2
13160,13,14.02.2021,Веб-дизайн,1
13162,15,14.02.2021,Веб-дизайн,1
13169,14,14.02.2021,Python Базовый,0
13174,13,21.02.2021,Веб-дизайн,1
13175,11,14.02.2021,Python Базовый,0
13181,14,14.02.2021,Python Базовый,0
13190,11,14.02.2021,Python Базовый,0
13193,16,14.02.2021,Python Базовый,0
13198,12,14.02.2021,Python Базовый,0
13200,12,14.02.2021,Python Базовый,0
13208,12,28.02.2021,Python Базовый,0
13211,15,21.02.2021,Unity,1
13212,,28.02.2021,Python Базовый,1
13227,13,21.02.2021,Python Базовый,1
13230,13,21.02.2021,Python Базовый,1
13233,15,14.02.2021,Python Базовый,0
13237,13,14.02.2021,Python Базовый,0
13238,13,14.02.2021,Python Базовый,0
13248,,14.02.2021,Python Базовый,0
13255,13,28.02.2021,Python Базовый,0
13257,12,14.02.2021,Python Базовый,0
13258,10,14.02.2021,Python Базовый,0
13263,13,28.02.2021,Python Базовый,0
13271,11,21.02.2021,Python Базовый,1
13276,12,28.02.2021,Python Базовый,0
13278,11,14.02.2021,Веб-дизайн,0
13281,,14.02.2021,Python Базовый,1
13290,14,14.02.2021,Python Базовый,0
13305,13,21.02.2021,Python Базовый,0
13307,13,21.02.2021,Python Базовый,1
13308,10,21.02.2021,Python Базовый,0
13311,13,14.02.2021,Веб-дизайн,0
13315,13,21.02.2021,Python Базовый,1
13318,11,21.02.2021,Python Базовый,1
13319,14,28.02.2021,Unity,1
13320,14,14.02.2021,Веб-дизайн,1
13327,12,21.02.2021,Python Базовый,1
13345,14,21.02.2021,Python Базовый,0
13349,14,14.02.2021,Python Базовый,0
13360,16,14.02.2021,Веб-дизайн,1
13361,12,21.02.2021,Python Базовый,1
13363,13,28.02.2021,Python Базовый,1
13364,13,21.02.2021,Python Базовый,1
13365,15,21.02.2021,Python Базовый,1
13366,15,14.02.2021,Веб-дизайн,0
13367,11,21.02.2021,Python Базовый,1
13368,14,21.02.2021,Веб-дизайн,1
13374,13,14.02.2021,Веб-дизайн,0
13375,12,21.02.2021,Python Базовый,0
13377,12,14.02.2021,Python Базовый,0
13388,12,14.02.2021,Python Базовый,0
13392,14,21.02.2021,Python Базовый,0
13394,14,21.02.2021,Python Базовый,0
13397,13,21.02.2021,Python Базовый,0
13398,13,14.02.2021,Python Базовый,0
13406,13,21.02.2021,Python Базовый,0
13418,12,21.02.2021,Python Базовый,0
13437,,21.02.2021,Python Базовый,1
13441,15,21.03.2021,Python Базовый,0
13444,12,14.02.2021,Python Базовый,0
13454,,21.02.2021,Python Базовый,1
13455,13,21.02.2021,Python Базовый,1
13456,15,21.02.2021,Python Базовый,1
13460,10,21.02.2021,Python Базовый,1
13466,13,21.02.2021,Python Базовый,1
13471,13,21.02.2021,Веб-дизайн,0
13473,12,28.02.2021,Python Базовый,0
13478,12,21.02.2021,Python Базовый,1
13480,,21.02.2021,Python Базовый,1
13481,14,21.02.2021,Python Базовый,1
13482,11,21.02.2021,Python Базовый,0
13487,13,28.02.2021,Python Базовый,1
13488,13,21.02.2021,Python Базовый,1
13489,10,21.02.2021,Python Базовый,1
13511,13,21.02.2021,Python Базовый,1
13516,13,21.02.2021,Python Базовый,1
13518,,21.02.2021,Python Базовый,1
13521,13,21.02.2021,Python Базовый,1
13530,13,21.02.2021,Python Базовый,1
13536,15,21.02.2021,Python Базовый,1
13538,13,21.02.2021,Python Базовый,0
13548,13,21.02.2021,Python Базовый,1
13550,14,21.02.2021,Python Базовый,1
13552,15,14.02.2021,Unity,0
13555,12,21.02.2021,Python Базовый,1
13558,12,21.02.2021,Python Базовый,1
13561,15,14.02.2021,Веб-дизайн,0
13572,13,21.02.2021,Python Базовый,1
13574,15,28.02.2021,Python Базовый,1
13587,11,21.02.2021,Python Базовый,1
13595,12,21.02.2021,Python Базовый,1
